species_id	count_reads	coverage	relative_abundance
Capnocytophaga_sputigena_61779	1430	1.484439337	0.008945689
Clostridiales_bacterium_57827	512	1.41206933	0.008023859
Bacteroides_uniformis_57318	248	2.751795461	0.048871071
Aggregatibacter_segnis_62447	203	4.953392517	0.012546394
Dialister_invisus_61905	131	1.172460021	0.026575504
Acidovorax_ebreus_57143	62	161.2461936	0.146662969
Actinomyces_sp_59944	41	8.290953287	0.023389764
Kingella_kingae_56809	9	0.417415618	0.000639206
Anaeroglobus_geminatus_62348	8	3.953109378	0.010905192
Hallella_seregens_55732	7	0.408882236	0.001956109
Bulleidia_extructa_62099	4	2.641716567	0.030128934
Acinetobacter_johnsonii_58178	2	77.27712343	0.118337621
Acinetobacter_sp_59556	2	61.62079862	0.130446252
Afipia_birgiae_59428	2	5.314098499	0.009566757
Alistipes_sp_58363	2	4.14491018	0.029999244
Clostridiales_bacterium_52743	2	1.258067605	0.002107241
Pseudomonas_fluorescens_61013	2	0.113377325	0.012506018
Achromobacter_xylosoxidans_62275	1	192.6113186	0.27091501
Acinetobacter_sp_57696	1	60.24303361	0.07370502
Adlercreutzia_equolifaciens_60310	1	4.931296185	0.030352936
Arsenicicoccus_bolidensis_58708	1	3.702359528	0.009984211
Enterobacter_hormaechei_50416	1	1.130716996	0.031134689
Micrococcus_luteus_57785	1	0.292540458	0.002540265
Pseudomonas_fragi_59193	1	0.110878244	0.005987468
Streptococcus_mitis_61110	6021	0.049730377	0.00268546
Granulicatella_elegans_61945	5913	0.647970406	0.003211756
Actinobaculum_sp_59615	4088	41.13943649	0.029197139
Streptococcus_sp_54717	4083	0.020177563	0.000795632
Fusobacterium_nucleatum_57855	2873	0.906430997	0.00676691
Catonella_morbi_61904	2128	1.468106379	0.002603012
Centipeda_periodontii_62449	1884	1.408073541	0.017739471
Capnocytophaga_granulosa_57613	1814	1.588546343	0.00223435
Campylobacter_concisus_59750	1652	2.098562013	0.014099928
Actinomyces_naeslundii_58629	1570	15.08664845	0.02526987
Butyrivibrio_crossotus_61674	1306	2.435598124	0.011788142
Actinomyces_sp_58589	1133	9.367513612	0.016380244
Actinomyces_sp_62581	790	6.32088268	0.029075547
Neisseria_sp_61995	637	0.215797883	0.001032386
Actinomyces_sp_62277	601	7.145396445	0.015600789
Fusobacterium_nucleatum_56829	527	1.026494701	0.025238001
Actinomyces_sp_62445	506	7.273645271	0.027420978
Aggregatibacter_sp_60097	413	4.396682654	0.007756527
Eubacterium_sulci_62452	407	1.046090782	0.008402293
Cardiobacterium_hominis_61979	372	1.495769882	0.003103579
Actinomyces_odontolyticus_57475	340	12.76403036	0.021379526
Actinomyces_sp_58647	269	9.149445082	0.013329404
Eikenella_corrodens_61764	208	1.026794641	0.017301751
Bacteroides_xylanisolvens_57185	163	2.777210373	0.01697521
Atopobium_sp_62583	143	3.491424536	0.022916493
Bacteroides_caccae_53434	142	3.134584342	0.009668018
Alistipes_putredinis_61533	127	4.028864338	0.005925774
Atopobium_sp_59401	123	3.302495094	0.010185906
Bacteroides_fragilis_54507	104	2.978430198	0.003584378
Prevotella_saccharolytica_57611	91	0.1486365	0.008026429
Atopobium_parvulum_61692	63	3.616936289	0.011155739
Alistipes_shahii_62199	52	4.190861828	0.018778379
Actinomyces_sp_62027	48	7.450269623	0.014593319
Solobacterium_moorei_56880	48	0.097985626	0.005291262
Bacteroides_ovatus_58035	36	3.591028037	0.007844743
Parabacteroides_johnsonii_55217	33	0.147177964	0.000668822
Bacteroides_cellulosilyticus_58046	31	2.978319783	0.033967914
Corynebacterium_argentoratense_60209	26	1.257290734	0.001931801
Actinomyces_georgiae_55085	25	26.86299273	0.106011399
Atopobium_rimae_61781	25	3.576729179	0.016253768
Eubacterium_nodatum_59304	17	1.063330337	0.014179305
Dechloromonas_agitata_60048	16	1.193596649	0.007834352
Bacteroides_finegoldii_57739	14	3.03402175	0.010374304
Prevotella_enoeca_59694	13	0.176605734	0.006963833
Bacteroides_coprocola_61586	11	3.097541555	0.002817398
Actinobacillus_equuli_60988	10	58.84381865	0.098562358
Bacteroides_salyersiae_54873	10	2.913169464	0.006166944
Bacteroides_acidifaciens_59693	9	3.138349756	0.012559871
Eggerthia_catenaformis_62698	8	1.132875485	0.004432464
Actinomyces_israelii_58669	7	19.72541392	0.052636087
Enterococcus_faecalis_56297	7	1.123320394	0.013272678
Bacteroides_faecis_58503	6	3.043491302	0.027952144
Afipia_sp_42814	5	4.782604354	0.008816525
Bifidobacterium_catenulatum_58257	5	2.686945117	0.009187536
Bifidobacterium_dentium_55719	5	2.72575116	0.017887319
Blautia_wexlerae_56130	5	2.651935901	0.019121405
